2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年01月08日 02:55	京城翎管王	新华社（2013年1月7日讯）：没人有资格对袁厉害说三道四--京城翎管王：名满河南兰考县的女人袁厉害，多年来收养了超过百名孤儿和弃婴 新华社（2013年1月7日讯）：没人有资格对袁厉害说三道四--... O网页链接 （使用新浪长微博工具发布 O发现一张好图，大家快来看看~） ​
2013年01月08日 02:54	京城翎管王	分享了一篇文章：《新华社（2013年1月7日讯）：没人有资格对袁厉害说三道四--京城翎管王》 O网页链接 ​
2013年01月08日 02:49	京城翎管王	分享自京城翎管王 《新华社（2013年1月7日讯）：没人有资格对袁厉害说三道四 - 新华社（2013年1月7日讯）：没人有资格对袁厉害说三道四--京城翎管王 新华网南京1月7日电（记者... (来自 @头条博客) - O新华社（2013年1... @mark ​
2013年01月08日 02:41	恺撒传奇	袁厉害这个名字我从来没有听过，只是这几天从新闻还网上才知道她是个爱心妈妈从87年开始收养弃婴到现在27年的时间收养100位弃婴她家里并不富裕不是有能多大能力家庭她能做到这样，值得我们深思中国职能部门你们都去干嘛了。 ​
2013年01月08日 02:41	京城翎管王	发表了博文 《新华社（2013年1月7日）：没人有资格对袁厉害说三道四--京城翎管王》 - 新华社（2013年1月7日）：没人有资格对袁厉害说三道四--京城翎管王 新华网南京1月7日电（记者 朱旭东） O新华社（2013年1月7日讯）：没人有资格对袁厉害说三道四--京城翎管王 ​
2013年01月08日 02:39	恺撒传奇	袁厉害这个名字我从来没有听过，只是这几天从新闻还网上才知道她是个爱心妈妈从87年开始收养弃婴到现在27年的时间收养100位弃婴她家里并不富裕不是有能多大能力家庭她能做到这样，值得我们深思中国职能部门你们都去干嘛了。 ​
2013年01月08日 02:32	我无心意	新华网：谁都没资格对袁厉害说三道四 O新华网：谁都没资格对袁厉害说三道四 ​
2013年01月08日 02:28	木叶東行	【兰考曾花2000万建财税中心 福利院不在优先考虑之列】O兰考曾花2000万建财税中心 福利院不在优先考虑之列_资讯频道_凤凰网 在袁厉害是否“入刑”问题，成为社会焦点的背后，就是颇受非议的兰考县政府。时至今日，当地没有一座儿童福利院，更谈不上法律保障和基本设施。 ​
2013年01月08日 02:22	刘春律师	新华网：谁都没资格对袁厉害说三道四-O网页链接 ​
2013年01月08日 02:22	人力资源咨询专家黄亨煜博士	没人有资格对袁厉害说三道四---新华社南京１月７日专电题：没人有资格对袁厉害说三道四 　　新华社记者朱旭东　　４日发生在河南兰考的一把大火，吞噬了７条可怜的小生命，烧出了世间百态、人间炎凉。 【短评】有菩萨心肠，但缺乏菩萨的能量。善良的人啊。 #新华分享# O网页链接 ​
2013年01月08日 02:11	向泓羽	我们的政府和相关的慈善组织，那么多纳税人和社会爱心人士的支助难道还不如一头老母猪的补贴么？事件后有“砖家”引经据典谈到袁厉害至少会处以三年以下刑事处罚，甚至有人质疑袁厉害20多年的收养只为骗取低保。敢问低保能养活100多个孤儿，政府对社会孤儿熟视无睹，普通大众的善举却报以法律制裁。。 ​
2013年01月08日 02:11	上海快乐满天飞	新华网:谁都没资格指责袁厉害 O新华网：谁都没资格对袁厉害说三道四（分享自@凤凰客户端）给力！！！ ​
2013年01月08日 02:09	代号雷霆19	【兰考曾花2000万建财税中心 福利院不在优先考虑之列】在袁厉害是否“入刑”问题，成为社会焦点的背后，就是颇受非议的兰考县政府。时至今日，当地没有一座儿童福利院，更谈不上法律保障和基本设施。 O兰考曾花2000万建财税中心 福利院不在优先考虑之列_资讯频道_凤凰网 （分享自 @） ​
2013年01月08日 02:04	DJ苏州钟祥	关于#袁厉害#看了央视新闻，心酸！为啥盖啥政府楼都有钱，盖孤儿院却都没钱！？钱到底是谁才能用！？按照宪法打个比方，是物业决定咋用维修基金？还是交物业费的居民决定！？有问题，一定要改！但也不需要户口在隔壁小区，却一天到晚要来改变我们小区业委会组成的人士来多嘴！！！ ​
2013年01月08日 02:04	向泓羽	刚才看到1.4火灾惨案。袁厉害，一个普通的小商贩，20多年收养100多个弃婴或社会孤儿，火灾当日，由于照料另一处孩子，家中不幸失火，造成7命孤儿葬身火海。事后当地民政部门以非法收养社会孤儿为由，在公开报告中只讲征服如何积极救灾而将这一社会公认的“爱心妈妈”置于法律问责的风口浪尖。。。。 ​
2013年01月08日 02:04	孙英才aaron	袁厉害说她从1989年开始收养弃婴，“连死带活”累积有100个左右。她说：“兰考是个穷县，以前没有福利院。我在县医院门口做生意，看着有些小孩生下来后，这个不要，那个也不要，很可怜。我就是想让孩子有个活命。要是扔到大街上，眼看着死了不心疼得慌吗？” ​
2013年01月08日 02:03	易梦觉	在惋惜的同时向袁厉害致敬，向你学习，节哀 ​
2013年01月08日 04:50	hb352926975	#新华分享#没人有资格对袁厉害说三道四---新华社南京１月７日专电题：没人有资格对袁厉害说三道四 　　新华社记者朱旭东　　４日发生在河南兰考的一把大火，吞噬了７条可怜的小生命，烧出了世间百态、人间炎凉。 O没人有资格对袁厉害说三道四 - 新华时政 - 新华网 ​
2013年01月08日 04:42	烤骨学家	【没人有资格对袁厉害说三道四】O网页链接 (分享自 @今日头条) ​
2013年01月08日 04:41	老余哥2010	《兰考袁厉害是否入刑引争议》 (来自 @头条新闻) O兰考官员:福利院尚不在县城发展优先考虑之列 ​
2013年01月08日 04:39	海涛杨	新华网：４日发生在河南兰考的一把大火，吞噬了７条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉害泼脏水，甚至还有人有单位借机表现。记者认为，没人有资格对袁厉害说三道四，否则只会让自己更渺小。 ​
2013年01月08日 04:33	抚远农民123	袁厉害：低保还给政府 再也不收养孩子了 网易新闻 O袁厉害：低保还给政府 再也不收养孩子了_网易新闻中心 政府的行为让人心寒，无论你做出什么样的决定都是自己的行为，别人无权说三道四，保重！ ​
2013年01月08日 04:29	西兰花王国的艳子	袁厉害：低保还给政府 再也不收养孩子了 网易新闻 O袁厉害：低保还给政府 再也不收养孩子了_网易新闻中心 ​
2013年01月08日 04:29	西兰花王国的艳子	【兰考曾花2千万元建财税中心 称先不考虑建福利院 网易新闻】核心提示：1月4日早上8时许，河南兰考“爱心妈妈”袁厉害孤儿收养所发生火灾致7死1伤。目前，袁厉害是否“入刑”问题成为社会关注的焦点。河南兰考县如今没有... O兰考曾花2千万元建财税中心 称先不考虑建福利院_网易新闻中心 ​
2013年01月08日 04:24	青海商务网	【袁厉害受访否认卖弃婴：若逮住把我枪毙】1月4日，河南兰考民办收养场所发生火灾事故，致7名孤儿死亡。针对收养所创办人袁厉害借收养弃婴赚钱质疑，当事人袁厉害受访时回应称，以前接受采访，也被问过卖小孩的问题，如果我真是卖小孩，逮住了把我枪毙。 ​
2013年01月08日 04:23	中国KMT	说袁厉害骗低保？那好吧。兰考县官大老爷，爷每月给你两千，要你亲自养活一百个孤残孩子，二十五年，你干不干？ ​
2013年01月08日 04:19	乌蒙青干	友情提醒：某些把袁厉害和孩子们分开的人，你们是不是太不人道！？如果你生病时，把你和你的孩子分开，不让你和孩子见面，请问你会是什么感受？孩子们刚失去兄弟姐妹，又受过惊吓，然后又看不见母亲又是什么感受？！请你们扪心自问，请你们好好反思！ 我在:2Z207 ​
2013年01月08日 04:17	红不了的喵格格	母亲最伟大！那些贪污来中饱私囊和养女人的，你们留多点钱给自己和家里人看绝症吧 //【没人有资格对袁厉害说三道四】O网页链接 (分享自 @今日头条) ​
2013年01月08日 04:15	nadphii	#孤儿收养所火灾# 假如因为这件事袁厉害被判刑，会不会有人揭竿而起？这国家大抵是没救了。 详情:O查看话题详情 ​
2013年01月08日 04:09	乌蒙青干	什么破专家！竟然说“袁厉害或被追究过失制人死亡罪”，理由是一经收养就有监护责任。那我问：那些生下孩子就丢掉的，是不是故意杀人或故意杀人未遂罪？且为何没被追究？同时袁厉害的收养一直被你们专家视为不合法！那他们哪来的监护关系？什么狗屁专家，我看是狗屎！ 我在:2Z207 ​
2013年01月08日 04:08	罗酷科技	【关注：新】访袁厉害孩子们在福利院生活 第一顿吃饺子(图)-搜狐新闻 O网页链接 ​
2013年01月08日 04:01	suzcx420	党报力挺袁厉害，顶一个 新华网：谁都没资格对袁厉害说三道四-O网页链接 ​
2013年01月08日 06:59	德瓷斋	袁厉害收养百余弃婴死亡几十个 警察送孩上门 O袁厉害收养百余弃婴死亡几十个 警察送孩上门 （分享自 @头条新闻） ​
2013年01月08日 06:59	红树林USA	无论袁厉害是否真的在救助孤儿，政府都有行政不作为的责任。政府是孤儿的第一责任人就是政府，而非公民。国家有建立救养孤儿的机构，也有民政局在行政监管，在那里上班的人，人都到哪儿去了？为什么拿了工资不干活？问责机制下，该辖区的民政局长应该下台并被追究渎职的法律责任！ ​
2013年01月08日 06:57	陈奋填88	好人难做 //【综述：袁厉害“入刑”问题成为焦点的背后】O网页链接 (分享自 @今日头条) ​
2013年01月08日 06:56	陈奋填88	慈善机构都是些大骗子啊 //【兰考公布袁厉害收养弃婴低保名单 死伤者均不在列】O网页链接 (分享自 @今日头条) ​
2013年01月08日 06:54	水娃儿滴	新华社:没人有资格指责袁厉害 孩子的家长没资格，地方政府部门没资格，诸位看客没资格。 O网页链接 @搜狐新闻客户端 ​
2013年01月08日 06:54	网络新闻联播	【河南兰考私人收养所大火至今无官员被问责】袁厉害私人收养所大火发生第4天——袁厉害家仍然戒备森严。根据官方消息，此次着火事件仍处于调查中。在此前接受采访时，兰考县表示将对相关人员进行问责。当记者就此事询问时，一提到问责，很多人都躲躲闪闪。至今为止，还没有官员因此被公开问责或停职。 ​
2013年01月08日 06:53	人民执法监督员	遵记守法，法律规定坚决执行。实践看百姓执行较好，不依法办案的是法院？例如法律规定私刻公章违法，天津法院裁判合法！法律规定假冒他人签字违法，天津百名法官一审裁判合法，二审 维持！再审不准！申诉不批！举报无用！难 《袁厉害称以后再不收养孩子》 (来自 @手机新浪网) O袁厉害称将归还低保资格再不收养孩子 ​
2013年01月08日 06:53	PARIS_Darren	抛去伪善的躯壳，剩下的东西叫做良心！袁厉害，没人可以对你指手划脚！ 新华网：谁都没资格对袁厉害说三道四 O新华网：谁都没资格对袁厉害说三道四_资讯频道_凤凰网 分享自@凤凰客户端 ​
